subject,verb,score,modality,test,trial_order,session,type,cloze,wmc,prod_pre,rec_pre
6,bake,0,FTF,priming2,15,session2,prime,33,68,0,14
6,drink,0,FTF,priming2,18,session2,non-prime,33,68,0,14
6,type,0,FTF,priming2,19,session2,prime,33,68,0,14
6,move,0,FTF,priming2,24,session2,non-prime,33,68,0,14
6,rake,0,FTF,priming2,26,session2,non-prime,33,68,0,14
6,have,0,FTF,priming2,27,session2,prime,33,68,0,14
6,hit,0,FTF,priming2,28,session2,non-prime,33,68,0,14
6,raise,0,FTF,priming2,30,session2,non-prime,33,68,0,14
6,follow,0,FTF,priming2,32,session2,non-prime,33,68,0,14
6,ride,0,FTF,priming2,34,session2,non-prime,33,68,0,14
6,pass,0,FTF,priming2,36,session2,non-prime,33,68,0,14
6,brush,0,FTF,priming1,8,session1,non-prime,33,68,0,14
6,post,0,FTF,priming2,9,session2,prime,33,68,0,14
6,select,1,FTF,priming1,5,session1,prime,33,68,0,14
6,sing,1,FTF,priming1,7,session1,prime,33,68,0,14
6,cut,1,FTF,priming1,15,session1,prime,33,68,0,14
6,wipe,1,FTF,priming1,35,session1,prime,33,68,0,14
6,choose,1,FTF,priming2,13,session2,prime,33,68,0,14
6,decorate,1,FTF,priming2,20,session2,non-prime,33,68,0,14
6,pick,1,FTF,priming2,21,session2,prime,33,68,0,14
6,take,1,FTF,priming2,29,session2,prime,33,68,0,14
6,fill,1,FTF,priming2,35,session2,prime,33,68,0,14
6,keep,1,FTF,priming1,36,session1,non-prime,33,68,0,14
6,bring,1,FTF,priming2,2,session2,non-prime,33,68,0,14
6,carry,1,FTF,priming2,4,session2,non-prime,33,68,0,14
6,cross,1,FTF,priming2,22,session2,non-prime,33,68,0,14
6,hang,1,FTF,priming1,1,session1,prime,33,68,0,14
6,cook,1,FTF,priming1,31,session1,prime,33,68,0,14
6,put,1,FTF,priming1,33,session1,prime,33,68,0,14
6,vacuum,1,FTF,priming2,1,session2,prime,33,68,0,14
6,study,1,FTF,priming2,3,session2,prime,33,68,0,14
6,perform,1,FTF,priming2,5,session2,prime,33,68,0,14
6,clean,1,FTF,priming2,11,session2,prime,33,68,0,14
6,deposit,1,FTF,priming2,25,session2,prime,33,68,0,14
6,park,1,FTF,priming2,31,session2,prime,33,68,0,14
6,stretch,1,FTF,priming2,33,session2,prime,33,68,0,14
7,pet,0,FTF,priming1,12,session1,non-prime,34,55,0,7
7,burn,0,FTF,priming1,10,session1,non-prime,34,55,0,7
7,stack,0,FTF,priming1,11,session1,prime,34,55,0,7
7,toast,0,FTF,priming1,13,session1,prime,34,55,0,7
7,boil,0,FTF,priming1,17,session1,prime,34,55,0,7
7,choose,0,FTF,priming2,13,session2,prime,34,55,0,7
7,grow,0,FTF,priming1,2,session1,non-prime,34,55,0,7
7,buy,0,FTF,priming1,4,session1,non-prime,34,55,0,7
7,use,0,FTF,priming1,6,session1,non-prime,34,55,0,7
7,push,0,FTF,priming1,16,session1,non-prime,34,55,0,7
7,read,0,FTF,priming1,18,session1,non-prime,34,55,0,7
7,send,0,FTF,priming1,20,session1,non-prime,34,55,0,7
7,watch,0,FTF,priming1,21,session1,prime,34,55,0,7
7,wear,0,FTF,priming1,22,session1,non-prime,34,55,0,7
7,shake,0,FTF,priming1,24,session1,non-prime,34,55,0,7
7,turn,0,FTF,priming1,28,session1,non-prime,34,55,0,7
7,sprinkle,0,FTF,priming1,30,session1,non-prime,34,55,0,7
7,show,0,FTF,priming1,32,session1,non-prime,34,55,0,7
7,wipe,0,FTF,priming1,35,session1,prime,34,55,0,7
7,catch,0,FTF,priming2,6,session2,non-prime,34,55,0,7
7,polish,0,FTF,priming2,8,session2,non-prime,34,55,0,7
7,drive,0,FTF,priming2,10,session2,non-prime,34,55,0,7
7,peel,0,FTF,priming2,12,session2,non-prime,34,55,0,7
7,lift,0,FTF,priming2,14,session2,non-prime,34,55,0,7
7,fly,0,FTF,priming2,16,session2,non-prime,34,55,0,7
7,drink,0,FTF,priming2,18,session2,non-prime,34,55,0,7
7,move,0,FTF,priming2,24,session2,non-prime,34,55,0,7
7,rake,0,FTF,priming2,26,session2,non-prime,34,55,0,7
7,have,0,FTF,priming2,27,session2,prime,34,55,0,7
7,hit,0,FTF,priming2,28,session2,non-prime,34,55,0,7
7,raise,0,FTF,priming2,30,session2,non-prime,34,55,0,7
7,follow,0,FTF,priming2,32,session2,non-prime,34,55,0,7
7,ride,0,FTF,priming2,34,session2,non-prime,34,55,0,7
7,pass,0,FTF,priming2,36,session2,non-prime,34,55,0,7
7,hang,0,FTF,priming1,1,session1,prime,34,55,0,7
7,select,0,FTF,priming1,5,session1,prime,34,55,0,7
7,sing,0,FTF,priming1,7,session1,prime,34,55,0,7
7,brush,0,FTF,priming1,8,session1,non-prime,34,55,0,7
7,organize,0,FTF,priming1,9,session1,prime,34,55,0,7
7,cut,0,FTF,priming1,15,session1,prime,34,55,0,7
7,measure,0,FTF,priming1,27,session1,prime,34,55,0,7
7,cook,0,FTF,priming1,31,session1,prime,34,55,0,7
7,swipe,0,FTF,priming1,34,session1,non-prime,34,55,0,7
7,keep,0,FTF,priming1,36,session1,non-prime,34,55,0,7
7,vacuum,0,FTF,priming2,1,session2,prime,34,55,0,7
7,bring,0,FTF,priming2,2,session2,non-prime,34,55,0,7
7,carry,0,FTF,priming2,4,session2,non-prime,34,55,0,7
7,perform,0,FTF,priming2,5,session2,prime,34,55,0,7
7,print,0,FTF,priming2,7,session2,prime,34,55,0,7
7,post,0,FTF,priming2,9,session2,prime,34,55,0,7
7,clean,0,FTF,priming2,11,session2,prime,34,55,0,7
7,bake,0,FTF,priming2,15,session2,prime,34,55,0,7
7,wash,0,FTF,priming2,17,session2,prime,34,55,0,7
7,type,0,FTF,priming2,19,session2,prime,34,55,0,7
7,decorate,0,FTF,priming2,20,session2,non-prime,34,55,0,7
