subject,verb,score,binary_score,Modality,test,trial_order,Session,Type,typingSpeed,Cloze,WMC,rec_pre,prod_pre,rec_pre_1_2
5,fly,1,0,FTF,priming2,16,session2,non-prime,45.13,35,46,6,0,6
5,buy,2,0,FTF,priming1,4,session1,non-prime,45.13,35,46,6,0,6
5,use,2,0,FTF,priming1,6,session1,non-prime,45.13,35,46,6,0,6
5,burn,2,0,FTF,priming1,10,session1,non-prime,45.13,35,46,6,0,6
5,pet,2,0,FTF,priming1,12,session1,non-prime,45.13,35,46,6,0,6
5,need,2,0,FTF,priming1,14,session1,non-prime,45.13,35,46,6,0,6
5,push,2,0,FTF,priming1,16,session1,non-prime,45.13,35,46,6,0,6
5,read,2,0,FTF,priming1,18,session1,non-prime,45.13,35,46,6,0,6
5,send,2,0,FTF,priming1,20,session1,non-prime,45.13,35,46,6,0,6
5,wear,2,0,FTF,priming1,22,session1,non-prime,45.13,35,46,6,0,6
5,insert,2,0,FTF,priming1,26,session1,non-prime,45.13,35,46,6,0,6
5,measure,2,0,FTF,priming1,27,session1,prime,45.13,35,46,6,0,6
5,sprinkle,2,0,FTF,priming1,30,session1,non-prime,45.13,35,46,6,0,6
5,show,2,0,FTF,priming1,32,session1,non-prime,45.13,35,46,6,0,6
5,wipe,2,0,FTF,priming1,35,session1,prime,45.13,35,46,6,0,6
5,polish,2,0,FTF,priming2,8,session2,non-prime,45.13,35,46,6,0,6
5,drive,2,0,FTF,priming2,10,session2,non-prime,45.13,35,46,6,0,6
5,peel,2,0,FTF,priming2,12,session2,non-prime,45.13,35,46,6,0,6
5,lift,2,0,FTF,priming2,14,session2,non-prime,45.13,35,46,6,0,6
5,wash,2,0,FTF,priming2,17,session2,prime,45.13,35,46,6,0,6
5,drink,2,0,FTF,priming2,18,session2,non-prime,45.13,35,46,6,0,6
5,type,2,0,FTF,priming2,19,session2,prime,45.13,35,46,6,0,6
5,decorate,2,0,FTF,priming2,20,session2,non-prime,45.13,35,46,6,0,6
5,rake,2,0,FTF,priming2,26,session2,non-prime,45.13,35,46,6,0,6
5,have,2,0,FTF,priming2,27,session2,prime,45.13,35,46,6,0,6
5,hit,2,0,FTF,priming2,28,session2,non-prime,45.13,35,46,6,0,6
5,raise,2,0,FTF,priming2,30,session2,non-prime,45.13,35,46,6,0,6
5,follow,2,0,FTF,priming2,32,session2,non-prime,45.13,35,46,6,0,6
5,pass,2,0,FTF,priming2,36,session2,non-prime,45.13,35,46,6,0,6
5,hang,4,0,FTF,priming1,1,session1,prime,45.13,35,46,6,0,6
5,grow,4,0,FTF,priming1,2,session1,non-prime,45.13,35,46,6,0,6
5,display,4,0,FTF,priming1,3,session1,prime,45.13,35,46,6,0,6
5,sing,4,0,FTF,priming1,7,session1,prime,45.13,35,46,6,0,6
5,brush,4,0,FTF,priming1,8,session1,non-prime,45.13,35,46,6,0,6
5,organize,4,0,FTF,priming1,9,session1,prime,45.13,35,46,6,0,6
5,stack,4,0,FTF,priming1,11,session1,prime,45.13,35,46,6,0,6
5,toast,4,0,FTF,priming1,13,session1,prime,45.13,35,46,6,0,6
5,boil,4,0,FTF,priming1,17,session1,prime,45.13,35,46,6,0,6
5,drink,4,0,FTF,priming1,23,session1,prime,45.13,35,46,6,0,6
5,shake,4,0,FTF,priming1,24,session1,non-prime,45.13,35,46,6,0,6
5,pour,4,0,FTF,priming1,25,session1,prime,45.13,35,46,6,0,6
5,turn,4,0,FTF,priming1,28,session1,non-prime,45.13,35,46,6,0,6
5,mix,4,0,FTF,priming1,29,session1,prime,45.13,35,46,6,0,6
5,cook,4,0,FTF,priming1,31,session1,prime,45.13,35,46,6,0,6
5,swipe,4,0,FTF,priming1,34,session1,non-prime,45.13,35,46,6,0,6
5,keep,4,0,FTF,priming1,36,session1,non-prime,45.13,35,46,6,0,6
5,vacuum,4,0,FTF,priming2,1,session2,prime,45.13,35,46,6,0,6
5,carry,4,0,FTF,priming2,4,session2,non-prime,45.13,35,46,6,0,6
5,print,4,0,FTF,priming2,7,session2,prime,45.13,35,46,6,0,6
5,post,4,0,FTF,priming2,9,session2,prime,45.13,35,46,6,0,6
5,clean,4,0,FTF,priming2,11,session2,prime,45.13,35,46,6,0,6
5,cross,4,0,FTF,priming2,22,session2,non-prime,45.13,35,46,6,0,6
5,staple,4,0,FTF,priming2,23,session2,prime,45.13,35,46,6,0,6
5,move,4,0,FTF,priming2,24,session2,non-prime,45.13,35,46,6,0,6
5,take,4,0,FTF,priming2,29,session2,prime,45.13,35,46,6,0,6
5,park,4,0,FTF,priming2,31,session2,prime,45.13,35,46,6,0,6
5,stretch,4,0,FTF,priming2,33,session2,prime,45.13,35,46,6,0,6
5,fill,4,0,FTF,priming2,35,session2,prime,45.13,35,46,6,0,6
