subject,verb,score,binary_score,new_score,mod_score,rescale_score,priming_amount,group,modality,condition,test,trial_order,test_order,rec_pre,typingSpeed,cloze,WMC1,WMC2,rec_pre_1_2
126,change,0,0,0,0,1,0,control,CMC,controlCMC,prod1,8,a_pre,5,38.71,11,30,67,5
126,receive,0,0,0,0,1,0,control,CMC,controlCMC,prod1,9,a_pre,5,38.71,11,30,67,5
126,hang,0,0,0,0,1,0,control,CMC,controlCMC,prod1,10,a_pre,5,38.71,11,30,67,5
126,take,0,0,0,0,1,0,control,CMC,controlCMC,prod1,11,a_pre,5,38.71,11,30,67,5
126,cook,0,0,0,0,1,0,control,CMC,controlCMC,prod1,12,a_pre,5,38.71,11,30,67,5
126,eat,0,0,0,0,1,0,control,CMC,controlCMC,prod3,1,post1,5,38.71,11,30,67,5
126,record,0,0,0,0,1,0,control,CMC,controlCMC,prod3,2,post1,5,38.71,11,30,67,5
126,organize,0,0,0,0,1,0,control,CMC,controlCMC,prod3,3,post1,5,38.71,11,30,67,5
126,display,0,0,0,0,1,0,control,CMC,controlCMC,prod3,4,post1,5,38.71,11,30,67,5
126,wash,0,0,0,0,1,0,control,CMC,controlCMC,prod3,5,post1,5,38.71,11,30,67,5
126,stack,0,0,0,0,1,0,control,CMC,controlCMC,prod3,8,post1,5,38.71,11,30,67,5
126,measure,0,0,0,0,1,0,control,CMC,controlCMC,prod3,9,post1,5,38.71,11,30,67,5
126,have,0,0,0,0,1,0,control,CMC,controlCMC,prod3,11,post1,5,38.71,11,30,67,5
126,wipe,0,0,0,0,1,0,control,CMC,controlCMC,prod3,12,post1,5,38.71,11,30,67,5
126,set,0,0,0,0,1,0,control,CMC,controlCMC,prod2,1,post2,5,38.71,11,30,67,5
126,mount,0,0,0,0,1,0,control,CMC,controlCMC,prod2,3,post2,5,38.71,11,30,67,5
126,study,0,0,0,0,1,0,control,CMC,controlCMC,prod2,4,post2,5,38.71,11,30,67,5
126,hear,0,0,0,0,1,0,control,CMC,controlCMC,prod2,5,post2,5,38.71,11,30,67,5
126,sing,0,0,0,0,1,0,control,CMC,controlCMC,prod2,6,post2,5,38.71,11,30,67,5
126,cut,0,0,0,0,1,0,control,CMC,controlCMC,prod2,7,post2,5,38.71,11,30,67,5
126,store,0,0,0,0,1,0,control,CMC,controlCMC,prod2,8,post2,5,38.71,11,30,67,5
126,boil,0,0,0,0,1,0,control,CMC,controlCMC,prod2,9,post2,5,38.71,11,30,67,5
126,vacuum,0,0,0,0,1,0,control,CMC,controlCMC,prod2,10,post2,5,38.71,11,30,67,5
126,scrub,0,0,0,0,1,0,control,CMC,controlCMC,prod2,11,post2,5,38.71,11,30,67,5
126,drink,0,0,0,0,1,0,control,CMC,controlCMC,prod2,12,post2,5,38.71,11,30,67,5
127,measure,0,0,0,0,1,0,control,CMC,controlCMC,prod3,9,post2,6,27.44,28,55,74,6
127,pour,0,0,0,0,1,0,control,CMC,controlCMC,prod3,10,post2,6,27.44,28,55,74,6
127,have,0,0,0,0,1,0,control,CMC,controlCMC,prod3,11,post2,6,27.44,28,55,74,6
127,wipe,0,0,0,0,1,0,control,CMC,controlCMC,prod3,12,post2,6,27.44,28,55,74,6
129,shave,0,0,0,0,1,0,control,FTF,controlFTF,prod1,4,post1,6,31.2,16,29,51,6
129,pour,0,0,0,0,1,0,control,FTF,controlFTF,prod3,10,post2,6,31.2,16,29,51,6
28,park,1,0,1,0,1,0,control,FTF,controlFTF,prod1,1,a_pre,5,51.18,25,59,89,6
